link,path,value
https://agora.olery.com/v2/companies/673124/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[77.2028959915239]
https://agora.olery.com/v2/companies/148/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[68.2175846732809]
https://agora.olery.com/v2/companies/582555/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[77.2295531331676]
https://agora.olery.com/v2/companies/57/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[74.9448934606907]
https://agora.olery.com/v2/companies/158/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[65.8015593292748]
https://agora.olery.com/v2/companies/565376/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[73.0677225109296]
https://agora.olery.com/v2/companies/423974/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[71.7613562831629]
https://agora.olery.com/v2/companies/1466/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[70.8333333333333]
https://agora.olery.com/v2/companies/38/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[70.0561948086701]
https://agora.olery.com/v2/companies/269/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[63.8720918315056]
https://agora.olery.com/v2/companies/329408/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[88.2943143812709]
https://agora.olery.com/v2/companies/139/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[76.1128064821635]
https://agora.olery.com/v2/companies/58/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[68.8595542090457]
https://agora.olery.com/v2/companies/56/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[73.352282821105]
https://agora.olery.com/v2/companies/672003/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[77.9686333084391]
https://agora.olery.com/v2/companies/577327/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[78.5579543072731]
https://agora.olery.com/v2/companies/673215/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[74.6449744933131]
https://agora.olery.com/v2/companies/168/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[71.608643457383]
https://agora.olery.com/v2/companies/1318/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[49.046511627907]
https://agora.olery.com/v2/companies/179/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[81.6411496105291]
https://agora.olery.com/v2/companies/635151/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[72.8484497247175]
https://agora.olery.com/v2/companies/270/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[72.2244856386229]
https://agora.olery.com/v2/companies/171/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[72.1500908854843]
https://agora.olery.com/v2/companies/61/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[79.6778369049331]
https://agora.olery.com/v2/companies/565308/sentiment?auth_token=ahneesh5Too6Ya2doh0YahPh9AeQua&start_date=2005-01-01&end_date=2016-06-30&properties=value_for_money,$.data[?(@.sentiment=='positive')].percentage,[56.1917971071924]
